DeviceAddress,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc_x_,Acc_y_,Acc_z_,Gyr_x_,Gyr_y_,Gyr_z_
D4:72:11:8B:5A:4D,Flex + IMU,29272,582,364,0,451,-249,-236,1500,-32768,-14744,-2712
D4:72:11:8B:5A:4D,Flex + IMU,29312,584,369,0,456,-150,775,945,-32767,-2227,-5250
D4:72:11:8B:5A:4D,Flex + IMU,29320,584,370,0,457,17,382,1100,-32422,-843,-3510
D4:72:11:8B:5A:4D,Flex + IMU,29360,585,374,0,461,-98,952,954,-20246,2098,16541
D4:72:11:8B:5A:4D,Flex + IMU,29368,585,375,0,461,-410,1151,1009,-16468,654,18222
D4:72:11:8B:5A:4D,Flex + IMU,29408,585,377,0,462,-302,569,1314,-3287,5815,12048
D4:72:11:8B:5A:4D,Flex + IMU,29416,585,377,0,462,-236,453,1438,-3345,6182,9882
D4:72:11:8B:5A:4D,Flex + IMU,29456,583,378,0,463,86,456,1260,-3505,2163,1720
D4:72:11:8B:5A:4D,Flex + IMU,29464,583,379,0,463,69,477,1256,-1722,-3,1295
D4:72:11:8B:5A:4D,Flex + IMU,29504,584,379,0,463,-470,1404,692,10025,-4960,1202
D4:72:11:8B:5A:4D,Flex + IMU,29560,584,371,0,463,527,-472,-2529,32763,31505,26078
D4:72:11:8B:5A:4D,Flex + IMU,29568,583,371,0,463,182,-466,-2836,32763,32763,32122
D4:72:11:8B:5A:4D,Flex + IMU,29600,583,372,0,465,1622,-2278,-3414,32763,32763,5710
D4:72:11:8B:5A:4D,Flex + IMU,29704,591,371,0,463,692,-2954,-1001,32763,24728,-8949
D4:72:11:8B:5A:4D,Flex + IMU,29752,592,362,0,465,476,-1188,-750,-5692,10155,457
D4:72:11:8B:5A:4D,Flex + IMU,29848,592,363,0,465,1,-1496,-1592,-20970,-736,6703
D4:72:11:8B:5A:4D,Flex + IMU,29896,588,363,0,462,531,-2347,-693,-26675,-14745,-7539
D4:72:11:8B:5A:4D,Flex + IMU,30040,566,370,0,457,-287,2164,-788,-32764,3703,-467
D4:72:11:8B:5A:4D,Flex + IMU,30096,569,375,0,462,-545,-491,1545,4201,9542,22950
D4:72:11:8B:5A:4D,Flex + IMU,30104,569,376,0,463,-598,-393,1463,-3054,10452,23064
D4:72:11:8B:5A:4D,Flex + IMU,30144,573,378,0,464,-93,736,577,-8301,13412,18236
D4:72:11:8B:5A:4D,Flex + IMU,30152,575,379,0,464,-97,799,588,-176,12612,15723
D4:72:11:8B:5A:4D,Flex + IMU,30288,589,373,0,467,916,-4155,-2754,32763,32763,-15978
D4:72:11:8B:5A:4D,Flex + IMU,30384,592,376,0,465,-34,-874,-372,32046,6470,-14385
D4:72:11:8B:5A:4D,Flex + IMU,30432,591,372,0,464,391,-1601,-348,-4118,-7187,-6648
D4:72:11:8B:5A:4D,Flex + IMU,30480,591,374,0,465,-7,-793,-807,3321,-4934,4649
D4:72:11:8B:5A:4D,Flex + IMU,30776,586,382,0,466,-590,13,831,-25161,-1752,12146
D4:72:11:8B:5A:4D,Flex + IMU,30824,589,384,0,467,-228,-297,1169,-8136,-6786,-2199
D4:72:11:8B:5A:4D,Flex + IMU,30832,589,384,0,467,-259,-156,1078,-12148,-5522,-2793
D4:72:11:8B:5A:4D,Flex + IMU,30872,590,385,0,468,-310,360,793,-10127,2510,-2941
D4:72:11:8B:5A:4D,Flex + IMU,30880,590,385,0,468,-371,382,875,-7372,4237,-3211
D4:72:11:8B:5A:4D,Flex + IMU,30920,590,385,0,468,-236,619,960,7529,10727,-2055
D4:72:11:8B:5A:4D,Flex + IMU,31016,588,376,0,465,-200,-2042,-820,32763,32763,10745
